idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
19,3,1,19,3,2.81,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,2024-04-20
20,4,1,20,4,5.98,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,2024-06-23
21,1,1,21,1,6.14,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,2024-01-14
22,2,1,22,2,9.66,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,2024-01-03
23,3,1,23,3,,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,2024-02-19
24,4,1,24,4,4.01,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,2024-05-09
25,1,1,25,1,5.48,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,2024-04-17
26,2,1,26,2,,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,2024-06-12
27,3,1,27,3,7.49,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,2024-04-12
28,4,1,28,4,9.49,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,2024-05-17
29,1,1,29,1,1.3,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,2024-02-28
30,2,1,30,2,9.81,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,2024-01-17
31,3,1,31,3,9.17,nullam orci pede venenatis non sodales sed tincidunt eu felis,2024-02-20
32,4,1,32,4,1.11,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-04-21
33,1,1,33,1,,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2024-01-14
34,2,1,34,2,6.2,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus,2024-04-15
35,3,1,35,3,9.93,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,2024-04-19
36,4,1,36,4,7.01,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,2024-06-03
37,1,1,37,1,5.58,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,2024-04-03
38,2,1,38,2,3.73,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,2024-03-26
39,3,1,39,3,,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,2024-03-30
40,4,1,40,4,1.19,neque aenean auctor gravida sem praesent id massa id nisl,2024-02-20
41,1,1,41,1,1.8,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,2024-05-12
42,2,1,42,2,8.23,in purus eu magna vulputate luctus cum sociis natoque penatibus et,2024-02-18
43,3,1,43,3,9.71,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,2024-04-04
44,4,1,44,4,7.85,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,2024-06-19
45,1,1,45,1,6.49,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,2024-04-19
46,2,1,46,2,9.38,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,2024-02-19
47,3,1,47,3,8.47,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,2024-05-03
48,4,1,48,4,5.87,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2024-06-21
49,1,1,49,1,,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,2024-03-19
50,2,1,50,2,8.79,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,2024-04-23
51,3,1,51,3,2.83,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,2024-03-28
52,4,1,52,4,3.9,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2024-01-08
53,1,1,53,1,,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,2024-06-21
54,2,1,54,2,3.06,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-01-11
55,3,1,55,3,5.01,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2024-01-04
56,4,1,56,4,4.55,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2024-05-15
57,1,1,57,1,4.84,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,2024-03-16
58,2,1,58,2,2.09,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,2024-05-24
59,3,1,59,3,2.32,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,2024-03-09
60,4,1,60,4,6.49,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,2024-04-05
61,1,1,61,1,7.08,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,2024-03-28
62,2,1,62,2,3.65,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,2024-04-25
63,3,1,63,3,,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,2024-04-25
64,4,1,64,4,,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,2024-01-16
65,1,1,65,1,4.44,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,2024-02-21
66,2,1,66,2,9.95,justo in hac habitasse platea dictumst etiam faucibus cursus urna,2024-05-31
67,3,1,67,3,9.64,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,2024-03-20
68,4,1,68,4,,quis turpis sed ante vivamus tortor duis mattis egestas metus,2024-06-16
69,1,1,69,1,3.64,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2024-02-02
70,2,1,70,2,8.21,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,2024-03-18
71,3,1,71,3,,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,2024-06-10
72,4,1,72,4,9.12,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,2024-05-26
73,1,1,73,1,9.12,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,2024-04-24
74,2,1,74,2,,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,2024-01-05
75,3,1,75,3,5.01,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,2024-06-11
76,4,1,76,4,4.97,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,2024-06-22
77,1,1,77,1,,at turpis a pede posuere nonummy integer non velit donec diam,2024-03-24
78,2,1,78,2,,cras pellentesque volutpat dui maecenas tristique est et tempus semper,2024-01-29
79,3,1,79,3,,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,2024-06-13
80,4,1,80,4,8.47,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,2024-06-04
81,1,1,81,1,2.4,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,2024-03-23
82,2,1,82,2,1.5,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,2024-04-24
83,3,1,83,3,4.41,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,2024-03-20
84,4,1,84,4,8.18,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,2024-04-23
85,1,1,85,1,9.3,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,2024-03-31
86,2,1,86,2,4.36,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,2024-03-17
87,3,1,87,3,,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,2024-01-05
88,4,1,88,4,8.61,libero nullam sit amet turpis elementum ligula vehicula consequat morbi,2024-02-18
89,1,1,89,1,9.78,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,2024-05-20
90,2,1,90,2,6.68,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,2024-02-10
91,3,1,91,3,4.75,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,2024-06-27
92,4,1,92,4,,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,2024-06-28
93,1,1,93,1,9.91,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,2024-06-13
94,2,1,94,2,5.54,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,2024-01-13
95,3,1,95,3,8.91,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,2024-06-11
96,4,1,96,4,5.86,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2024-03-28
97,1,1,97,1,9.33,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2024-06-10
98,2,1,98,2,7.5,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,2024-05-08
99,3,1,99,3,3.28,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,2024-05-26
100,4,1,100,4,7.08,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,2024-04-16
101,1,1,101,1,6.6,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,2024-02-04
102,2,1,102,2,9.58,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2024-02-02
103,3,1,103,3,6.62,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2024-04-24
104,4,1,104,4,,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,2024-03-02
105,1,1,105,1,9.64,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,2024-05-13
106,2,1,106,2,5.35,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,2024-04-02
107,3,1,107,3,,mauris enim leo rhoncus sed vestibulum sit amet cursus id,2024-04-19
108,4,1,108,4,1.69,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,2024-02-10
109,1,1,109,1,,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,2024-01-15
110,2,1,110,2,8.82,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,2024-02-08
111,3,1,111,3,,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2024-02-02
112,4,1,112,4,,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,2024-04-09
113,1,1,113,1,6.47,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2024-05-27
114,2,1,114,2,1.23,mauris non ligula pellentesque ultrices phasellus id sapien in sapien,2024-02-13
115,3,1,115,3,6.27,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2024-03-02
116,4,1,116,4,4.06,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,2024-03-08
117,1,1,117,1,3.38,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,2024-04-12
118,2,1,118,2,7.74,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2024-04-08
119,3,1,119,3,4.72,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,2024-04-27
120,4,1,120,4,3.87,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,2024-05-27
121,1,1,121,1,5.82,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,2024-01-12
122,2,1,122,2,,neque sapien placerat ante nulla justo aliquam quis turpis eget elit,2024-02-11
123,3,1,123,3,6.27,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,2024-06-11
124,4,1,124,4,6.21,placerat praesent blandit nam nulla integer pede justo lacinia eget,2024-02-26
125,1,1,125,1,2.52,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,2024-03-16
126,2,1,126,2,2.75,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,2024-02-15
127,3,1,127,3,1.79,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2024-02-27
128,4,1,128,4,1.84,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,2024-06-26
129,1,1,129,1,3.22,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,2024-01-31
130,2,1,130,2,6.98,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,2024-03-25
131,3,1,131,3,,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,2024-05-26
132,4,1,132,4,7.64,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,2024-02-08
133,1,1,133,1,9.6,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2024-03-14
134,2,1,134,2,3.78,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,2024-01-27
135,3,1,135,3,2.81,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,2024-01-17
136,4,1,136,4,5.15,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,2024-04-17
137,1,1,137,1,4.48,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,2024-06-20
138,2,1,138,2,,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,2024-03-19
139,3,1,139,3,,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,2024-01-09
140,4,1,140,4,,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,2024-05-20
141,1,1,141,1,1.67,consequat morbi a ipsum integer a nibh in quis justo,2024-03-08
142,2,1,142,2,9.82,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,2024-05-26
143,3,1,143,3,9.41,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,2024-01-27
144,4,1,144,4,5.96,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,2024-04-18
145,1,1,145,1,8.9,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,2024-05-29
146,2,1,146,2,,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,2024-01-12
147,3,1,147,3,4.17,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,2024-05-04
148,4,1,148,4,,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,2024-06-13
149,1,1,149,1,,venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-01-24
150,2,1,150,2,5.93,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2024-03-26
151,3,1,151,3,7.81,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,2024-03-03
152,4,1,152,4,1.74,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,2024-04-11
153,1,1,153,1,2.94,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,2024-01-30
154,2,1,154,2,3.5,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,2024-05-19
155,3,1,155,3,7.34,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,2024-01-15
156,4,1,156,4,2.77,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-04-19
157,1,1,157,1,,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,2024-03-26
158,2,1,158,2,6.63,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,2024-04-12
159,3,1,159,3,3.06,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,2024-06-25
160,4,1,160,4,4.6,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,2024-05-10
161,1,1,161,1,7.56,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,2024-01-31
162,2,1,162,2,7.77,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,2024-06-06
163,3,1,163,3,7.84,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,2024-06-29
164,4,1,164,4,4.44,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2024-06-04
165,1,1,165,1,3.63,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,2024-02-09
166,2,1,166,2,9.16,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,2024-04-03
167,3,1,167,3,4.06,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2024-03-04
168,4,1,168,4,1.37,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,2024-01-01
169,1,1,169,1,,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,2024-02-01
170,2,1,170,2,9.35,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,2024-04-15
171,3,1,171,3,5.09,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,2024-03-31
172,4,1,172,4,5.63,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,2024-04-13
173,1,1,173,1,6.44,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,2024-04-22
174,2,1,174,2,4.04,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,2024-02-11
175,3,1,175,3,8.04,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,2024-01-29
176,4,1,176,4,7.76,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,2024-04-30
177,1,1,177,1,1.09,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2024-02-13
178,2,1,178,2,2.41,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,2024-06-05
179,3,1,179,3,5.01,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,2024-06-28
180,4,1,180,4,,placerat ante nulla justo aliquam quis turpis eget elit sodales,2024-05-26
181,1,1,181,1,4.52,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2024-04-11
182,2,1,182,2,6.14,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2024-03-23
183,3,1,183,3,9.09,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,2024-04-04
184,4,1,184,4,4.6,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,2024-03-10
185,1,1,185,1,8.77,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,2024-01-25
186,2,1,186,2,8.58,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2024-03-12
187,3,1,187,3,,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,2024-04-23
188,4,1,188,4,,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,2024-05-15
189,1,1,189,1,9.98,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,2024-02-11
190,2,1,190,2,9.44,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2024-01-12
191,3,1,191,3,6.97,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,2024-05-01
192,4,1,192,4,,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,2024-03-20
193,1,1,193,1,9.63,proin leo odio porttitor id consequat in consequat ut nulla,2024-02-19
194,2,1,194,2,9.46,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,2024-06-13
195,3,1,195,3,7.42,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,2024-06-29
196,4,1,196,4,4.75,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,2024-03-29
197,1,1,197,1,,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,2024-05-15
198,2,1,198,2,,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-06-01
199,3,1,199,3,5.89,donec quis orci eget orci vehicula condimentum curabitur in libero,2024-01-10
200,4,1,200,4,6.25,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,2024-05-25
201,1,1,201,1,,mauris vulputate elementum nullam varius nulla facilisi cras non velit,2024-04-11
202,2,1,202,2,3.6,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,2024-01-23
203,3,1,203,3,9.29,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,2024-03-20
204,4,1,204,4,,arcu sed augue aliquam erat volutpat in congue etiam justo,2024-06-24
205,1,1,205,1,2.38,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,2024-02-24
206,2,1,206,2,9.19,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,2024-01-26
207,3,1,207,3,1.52,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,2024-04-09
208,4,1,208,4,4.91,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2024-05-11
209,1,1,209,1,7.98,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2024-04-04
210,2,1,210,2,,odio cras mi pede malesuada in imperdiet et commodo vulputate justo,2024-04-29
211,3,1,211,3,5.04,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,2024-06-26
212,4,1,212,4,7.65,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2024-03-19
213,1,1,213,1,3.73,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,2024-01-21
214,2,1,214,2,,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2024-06-22
215,3,1,215,3,,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,2024-01-02
216,4,1,216,4,7.48,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,2024-03-02
217,1,1,217,1,8.92,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,2024-05-07
218,2,1,218,2,4.06,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,2024-06-02
219,3,1,219,3,6.1,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,2024-05-27
220,4,1,220,4,7.82,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,2024-01-09
221,1,1,221,1,9.71,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,2024-06-29
222,2,1,222,2,2.73,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2024-04-05
223,3,1,223,3,3.38,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,2024-04-18
224,4,1,224,4,,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,2024-03-08
225,1,1,225,1,8.95,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2024-02-18
226,2,1,226,2,4.12,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,2024-01-06
