idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
21,1,5,21,1,,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,2025-02-22
22,2,5,22,2,8.79,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,2025-02-11
23,3,5,23,3,2.91,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,2025-02-06
24,4,5,24,4,1.03,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,2025-02-27
25,1,5,25,1,3.89,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,2025-02-15
26,2,5,26,2,8.83,ultrices phasellus id sapien in sapien iaculis congue vivamus metus,2025-02-26
27,3,5,27,3,8.67,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,2025-02-25
28,4,5,28,4,9.09,nisi eu orci mauris lacinia sapien quis libero nullam sit,2025-02-03
29,1,5,29,1,5.57,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,2025-02-01
30,2,5,30,2,3.38,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,2025-02-15
31,3,5,31,3,4.43,quis lectus suspendisse potenti in eleifend quam a odio in,2025-02-08
32,4,5,32,4,1.65,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,2025-02-07
33,1,5,33,1,1.1,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,2025-02-10
34,2,5,34,2,4.62,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,2025-02-04
35,3,5,35,3,,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,2025-02-09
36,4,5,36,4,5.52,in sagittis dui vel nisl duis ac nibh fusce lacus purus,2025-02-14
37,1,5,37,1,7.63,magna at nunc commodo placerat praesent blandit nam nulla integer,2025-02-09
38,2,5,38,2,1.47,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,2025-02-25
39,3,5,39,3,,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,2025-02-03
40,4,5,40,4,8.7,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,2025-02-07
41,1,5,41,1,,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2025-02-24
42,2,5,42,2,1.95,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,2025-02-11
43,3,5,43,3,8.19,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,2025-02-07
44,4,5,44,4,8.59,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,2025-02-25
45,1,5,45,1,,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,2025-02-04
46,2,5,46,2,3.58,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,2025-02-04
47,3,5,47,3,,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,2025-02-15
48,4,5,48,4,3.71,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,2025-02-15
49,1,5,49,1,4.48,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,2025-02-16
50,2,5,50,2,7.03,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,2025-02-21
51,3,5,51,3,6.19,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2025-02-06
52,4,5,52,4,,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,2025-02-15
53,1,5,53,1,,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,2025-02-01
54,2,5,54,2,,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,2025-02-14
55,3,5,55,3,8.08,pede ullamcorper augue a suscipit nulla elit ac nulla sed,2025-02-10
56,4,5,56,4,9.69,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,2025-02-05
57,1,5,57,1,6.08,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,2025-02-06
58,2,5,58,2,4.6,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,2025-02-06
59,3,5,59,3,,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea,2025-02-14
60,4,5,60,4,5.91,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,2025-02-07
61,1,5,61,1,,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,2025-02-08
62,2,5,62,2,2.59,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,2025-02-26
63,3,5,63,3,,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,2025-02-08
64,4,5,64,4,4.21,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,2025-02-25
65,1,5,65,1,7.2,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,2025-02-22
66,2,5,66,2,3.61,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,2025-02-15
67,3,5,67,3,8.15,duis at velit eu est congue elementum in hac habitasse platea dictumst,2025-02-23
68,4,5,68,4,7.42,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,2025-02-22
69,1,5,69,1,4.75,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2025-02-23
70,2,5,70,2,4.5,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,2025-02-13
71,3,5,71,3,7.87,ut blandit non interdum in ante vestibulum ante ipsum primis,2025-02-25
72,4,5,72,4,4.45,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,2025-02-01
73,1,5,73,1,4.46,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,2025-02-04
74,2,5,74,2,4.41,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,2025-02-17
75,3,5,75,3,3.33,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,2025-02-09
76,4,5,76,4,5.37,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,2025-02-08
77,1,5,77,1,,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,2025-02-20
78,2,5,78,2,3.62,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,2025-02-02
79,3,5,79,3,6.83,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,2025-02-16
80,4,5,80,4,8.76,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,2025-02-25
81,1,5,81,1,1.64,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,2025-02-23
82,2,5,82,2,4.08,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,2025-02-24
83,3,5,83,3,7.28,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,2025-02-04
84,4,5,84,4,8.48,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,2025-02-06
85,1,5,85,1,4.47,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,2025-02-10
86,2,5,86,2,3.23,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,2025-02-03
87,3,5,87,3,8.58,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,2025-02-23
88,4,5,88,4,3.36,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,2025-02-04
89,1,5,89,1,5.73,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,2025-02-07
90,2,5,90,2,8.94,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,2025-02-23
91,3,5,91,3,4.24,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2025-02-19
92,4,5,92,4,6.94,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,2025-02-23
93,1,5,93,1,5.93,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,2025-02-19
94,2,5,94,2,1.15,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,2025-02-05
95,3,5,95,3,,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,2025-02-10
96,4,5,96,4,9.78,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2025-02-06
97,1,5,97,1,1.75,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,2025-02-06
98,2,5,98,2,,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,2025-02-20
99,3,5,99,3,8.15,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,2025-02-23
100,4,5,100,4,5.47,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,2025-02-15
101,1,5,101,1,8.39,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,2025-02-04
102,2,5,102,2,3.54,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,2025-02-23
103,3,5,103,3,,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,2025-02-15
104,4,5,104,4,,ut nulla sed accumsan felis ut at dolor quis odio consequat varius,2025-02-22
105,1,5,105,1,7.0,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2025-02-07
106,2,5,106,2,1.19,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,2025-02-23
107,3,5,107,3,7.56,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,2025-02-15
108,4,5,108,4,9.33,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,2025-02-06
109,1,5,109,1,5.78,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,2025-02-27
110,2,5,110,2,3.33,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,2025-02-02
111,3,5,111,3,1.94,erat volutpat in congue etiam justo etiam pretium iaculis justo,2025-02-13
112,4,5,112,4,1.36,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,2025-02-05
113,1,5,113,1,7.14,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2025-02-06
114,2,5,114,2,,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,2025-02-23
115,3,5,115,3,8.81,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,2025-02-12
116,4,5,116,4,6.84,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,2025-02-12
117,1,5,117,1,9.07,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,2025-02-16
118,2,5,118,2,4.65,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,2025-02-26
119,3,5,119,3,,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,2025-02-08
120,4,5,120,4,2.05,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,2025-02-11
121,1,5,121,1,4.51,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,2025-02-16
122,2,5,122,2,,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,2025-02-19
123,3,5,123,3,4.68,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,2025-02-07
124,4,5,124,4,7.54,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2025-02-06
125,1,5,125,1,7.22,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,2025-02-10
126,2,5,126,2,6.44,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,2025-02-22
127,3,5,127,3,,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,2025-02-27
128,4,5,128,4,9.98,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,2025-02-06
129,1,5,129,1,6.86,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,2025-02-26
130,2,5,130,2,9.51,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,2025-02-24
131,3,5,131,3,8.96,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,2025-02-16
132,4,5,132,4,2.57,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,2025-02-03
133,1,5,133,1,6.72,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,2025-02-15
134,2,5,134,2,6.87,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,2025-02-04
135,3,5,135,3,5.76,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,2025-02-23
136,4,5,136,4,8.42,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,2025-02-23
137,1,5,137,1,,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,2025-02-11
138,2,5,138,2,4.75,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2025-02-13
139,3,5,139,3,5.29,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,2025-02-09
140,4,5,140,4,2.59,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,2025-02-22
141,1,5,141,1,4.82,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,2025-02-03
142,2,5,142,2,5.99,lobortis sapien sapien non mi integer ac neque duis bibendum morbi,2025-02-14
143,3,5,143,3,2.07,integer ac neque duis bibendum morbi non quam nec dui luctus,2025-02-17
144,4,5,144,4,7.66,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,2025-02-13
145,1,5,145,1,9.36,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,2025-02-07
146,2,5,146,2,8.49,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,2025-02-05
147,3,5,147,3,3.48,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2025-02-20
148,4,5,148,4,1.54,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,2025-02-23
149,1,5,149,1,3.01,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,2025-02-02
150,2,5,150,2,5.89,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,2025-02-17
151,3,5,151,3,5.7,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,2025-02-25
152,4,5,152,4,3.93,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,2025-02-12
153,1,5,153,1,,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,2025-02-13
154,2,5,154,2,6.88,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,2025-02-19
155,3,5,155,3,,sagittis sapien cum sociis natoque penatibus et magnis dis parturient,2025-02-23
156,4,5,156,4,,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,2025-02-05
157,1,5,157,1,4.6,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,2025-02-19
158,2,5,158,2,,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,2025-02-17
159,3,5,159,3,2.79,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,2025-02-18
160,4,5,160,4,7.52,eu orci mauris lacinia sapien quis libero nullam sit amet,2025-02-09
161,1,5,161,1,,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,2025-02-26
162,2,5,162,2,,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,2025-02-03
163,3,5,163,3,7.01,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,2025-02-03
164,4,5,164,4,4.03,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,2025-02-19
165,1,5,165,1,6.72,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,2025-02-13
166,2,5,166,2,7.5,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,2025-02-10
167,3,5,167,3,6.62,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,2025-02-03
168,4,5,168,4,6.33,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,2025-02-10
169,1,5,169,1,9.09,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,2025-02-03
170,2,5,170,2,2.96,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,2025-02-14
171,3,5,171,3,3.83,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,2025-02-01
172,4,5,172,4,1.38,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,2025-02-03
173,1,5,173,1,,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,2025-02-04
174,2,5,174,2,9.55,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,2025-02-17
175,3,5,175,3,5.51,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,2025-02-02
176,4,5,176,4,7.86,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,2025-02-27
177,1,5,177,1,3.59,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,2025-02-06
178,2,5,178,2,9.31,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,2025-02-04
179,3,5,179,3,7.05,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,2025-02-24
180,4,5,180,4,4.46,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,2025-02-24
181,1,5,181,1,1.31,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,2025-02-03
182,2,5,182,2,8.02,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,2025-02-03
183,3,5,183,3,4.19,erat id mauris vulputate elementum nullam varius nulla facilisi cras non,2025-02-06
184,4,5,184,4,2.35,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,2025-02-01
185,1,5,185,1,7.22,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,2025-02-05
186,2,5,186,2,,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,2025-02-21
187,3,5,187,3,9.56,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,2025-02-12
188,4,5,188,4,2.83,nisl duis ac nibh fusce lacus purus aliquet at feugiat non,2025-02-21
189,1,5,189,1,9.66,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,2025-02-12
190,2,5,190,2,1.72,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2025-02-02
191,3,5,191,3,4.6,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,2025-02-05
192,4,5,192,4,4.74,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,2025-02-14
193,1,5,193,1,8.46,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,2025-02-04
194,2,5,194,2,1.3,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,2025-02-03
195,3,5,195,3,5.85,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,2025-02-13
196,4,5,196,4,1.68,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,2025-02-11
197,1,5,197,1,1.37,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,2025-02-15
198,2,5,198,2,,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,2025-02-11
199,3,5,199,3,2.26,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,2025-02-26
200,4,5,200,4,4.98,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2025-02-25
201,1,5,201,1,5.87,donec vitae nisi nam ultrices libero non mattis pulvinar nulla,2025-02-27
202,2,5,202,2,8.85,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,2025-02-11
203,3,5,203,3,,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,2025-02-26
204,4,5,204,4,4.11,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,2025-02-11
205,1,5,205,1,9.57,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,2025-02-13
206,2,5,206,2,5.44,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,2025-02-08
207,3,5,207,3,,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,2025-02-09
208,4,5,208,4,2.95,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2025-02-25
209,1,5,209,1,5.53,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,2025-02-07
210,2,5,210,2,5.76,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,2025-02-06
211,3,5,211,3,,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,2025-02-02
212,4,5,212,4,,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,2025-02-13
213,1,5,213,1,3.99,consequat lectus in est risus auctor sed tristique in tempus sit amet sem,2025-02-03
214,2,5,214,2,8.39,nulla sed vel enim sit amet nunc viverra dapibus nulla,2025-02-24
215,3,5,215,3,3.69,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,2025-02-13
216,4,5,216,4,5.15,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,2025-02-23
217,1,5,217,1,9.14,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,2025-02-17
218,2,5,218,2,2.2,in lacus curabitur at ipsum ac tellus semper interdum mauris,2025-02-15
219,3,5,219,3,2.76,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,2025-02-10
220,4,5,220,4,7.3,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,2025-02-06
221,1,5,221,1,,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,2025-02-18
222,2,5,222,2,8.61,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,2025-02-03
