idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt,updatedAt
68,4,1,68,4,,quis turpis sed ante vivamus tortor duis mattis egestas metus,2024-06-16,
69,1,1,69,1,4,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2024-02-02,
70,2,1,70,2,8,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,2024-03-18,
71,3,1,71,3,,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,2024-06-10,
72,4,1,72,4,9,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,2024-05-26,
73,1,1,73,1,9,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,2024-04-24,
74,2,1,74,2,,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,2024-01-05,
75,3,1,75,3,5,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,2024-06-11,
76,4,1,76,4,5,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,2024-06-22,
77,1,1,77,1,,at turpis a pede posuere nonummy integer non velit donec diam,2024-03-24,
78,2,1,78,2,,cras pellentesque volutpat dui maecenas tristique est et tempus semper,2024-01-29,
79,3,1,79,3,,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,2024-06-13,
80,4,1,80,4,8,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,2024-06-04,
81,1,1,81,1,2,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,2024-03-23,
82,2,1,82,2,2,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,2024-04-24,
83,3,1,83,3,4,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,2024-03-20,
84,4,1,84,4,8,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,2024-04-23,
85,1,1,85,1,9,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,2024-03-31,
86,2,1,86,2,4,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,2024-03-17,
87,3,1,87,3,,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,2024-01-05,
88,4,1,88,4,9,libero nullam sit amet turpis elementum ligula vehicula consequat morbi,2024-02-18,
89,1,1,89,1,10,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,2024-05-20,
90,2,1,90,2,7,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,2024-02-10,
91,3,1,91,3,5,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,2024-06-27,
92,4,1,92,4,,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,2024-06-28,
93,1,1,93,1,10,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,2024-06-13,
94,2,1,94,2,6,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,2024-01-13,
95,3,1,95,3,9,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,2024-06-11,
96,4,1,96,4,6,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2024-03-28,
97,1,1,97,1,9,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2024-06-10,
98,2,1,98,2,8,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,2024-05-08,
99,3,1,99,3,3,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,2024-05-26,
100,4,1,100,4,7,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,2024-04-16,
101,1,1,101,1,7,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,2024-02-04,
102,2,1,102,2,10,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2024-02-02,
103,3,1,103,3,7,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2024-04-24,
104,4,1,104,4,,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,2024-03-02,
105,1,1,105,1,10,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,2024-05-13,
106,2,1,106,2,5,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,2024-04-02,
107,3,1,107,3,,mauris enim leo rhoncus sed vestibulum sit amet cursus id,2024-04-19,
108,4,1,108,4,2,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,2024-02-10,
109,1,1,109,1,,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,2024-01-15,
110,2,1,110,2,9,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,2024-02-08,
111,3,1,111,3,,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2024-02-02,
112,4,1,112,4,,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,2024-04-09,
113,1,1,113,1,6,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2024-05-27,
114,2,1,114,2,1,mauris non ligula pellentesque ultrices phasellus id sapien in sapien,2024-02-13,
115,3,1,115,3,6,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2024-03-02,
116,4,1,116,4,4,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,2024-03-08,
117,1,1,117,1,3,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,2024-04-12,
118,2,1,118,2,8,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2024-04-08,
119,3,1,119,3,5,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,2024-04-27,
120,4,1,120,4,4,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,2024-05-27,
121,1,1,121,1,6,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,2024-01-12,
122,2,1,122,2,,neque sapien placerat ante nulla justo aliquam quis turpis eget elit,2024-02-11,
123,3,1,123,3,6,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,2024-06-11,
124,4,1,124,4,6,placerat praesent blandit nam nulla integer pede justo lacinia eget,2024-02-26,
125,1,1,125,1,3,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,2024-03-16,
126,2,1,126,2,3,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,2024-02-15,
127,3,1,127,3,2,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2024-02-27,
128,4,1,128,4,2,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,2024-06-26,
129,1,1,129,1,3,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,2024-01-31,
130,2,1,130,2,7,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,2024-03-25,
131,3,1,131,3,,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,2024-05-26,
132,4,1,132,4,8,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,2024-02-08,
133,1,1,133,1,10,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2024-03-14,
134,2,1,134,2,4,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,2024-01-27,
135,3,1,135,3,3,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,2024-01-17,
136,4,1,136,4,5,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,2024-04-17,
137,1,1,137,1,4,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,2024-06-20,
138,2,1,138,2,,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,2024-03-19,
139,3,1,139,3,,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,2024-01-09,
140,4,1,140,4,,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,2024-05-20,
141,1,1,141,1,2,consequat morbi a ipsum integer a nibh in quis justo,2024-03-08,
142,2,1,142,2,10,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,2024-05-26,
143,3,1,143,3,9,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,2024-01-27,
144,4,1,144,4,6,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,2024-04-18,
145,1,1,145,1,9,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,2024-05-29,
146,2,1,146,2,,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,2024-01-12,
147,3,1,147,3,4,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,2024-05-04,
148,4,1,148,4,,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,2024-06-13,
149,1,1,149,1,,venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-01-24,
150,2,1,150,2,6,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2024-03-26,
151,3,1,151,3,8,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,2024-03-03,
152,4,1,152,4,2,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,2024-04-11,
153,1,1,153,1,3,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,2024-01-30,
154,2,1,154,2,4,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,2024-05-19,
155,3,1,155,3,7,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,2024-01-15,
156,4,1,156,4,3,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-04-19,
157,1,1,157,1,,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,2024-03-26,
158,2,1,158,2,7,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,2024-04-12,
159,3,1,159,3,3,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,2024-06-25,
160,4,1,160,4,5,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,2024-05-10,
161,1,1,161,1,8,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,2024-01-31,
162,2,1,162,2,8,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,2024-06-06,
163,3,1,163,3,8,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,2024-06-29,
164,4,1,164,4,4,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2024-06-04,
165,1,1,165,1,4,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,2024-02-09,
166,2,1,166,2,9,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,2024-04-03,
167,3,1,167,3,4,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2024-03-04,
168,4,1,168,4,1,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,2024-01-01,
169,1,1,169,1,,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,2024-02-01,
170,2,1,170,2,9,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,2024-04-15,
171,3,1,171,3,5,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,2024-03-31,
172,4,1,172,4,6,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,2024-04-13,
173,1,1,173,1,6,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,2024-04-22,
174,2,1,174,2,4,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,2024-02-11,
175,3,1,175,3,8,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,2024-01-29,
176,4,1,176,4,8,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,2024-04-30,
177,1,1,177,1,1,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2024-02-13,
178,2,1,178,2,2,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,2024-06-05,
179,3,1,179,3,5,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,2024-06-28,
180,4,1,180,4,,placerat ante nulla justo aliquam quis turpis eget elit sodales,2024-05-26,
181,1,1,181,1,5,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2024-04-11,
182,2,1,182,2,6,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2024-03-23,
183,3,1,183,3,9,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,2024-04-04,
184,4,1,184,4,5,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,2024-03-10,
185,1,1,185,1,9,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,2024-01-25,
186,2,1,186,2,9,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2024-03-12,
187,3,1,187,3,,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,2024-04-23,
188,4,1,188,4,,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,2024-05-15,
189,1,1,189,1,10,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,2024-02-11,
190,2,1,190,2,9,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2024-01-12,
191,3,1,191,3,7,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,2024-05-01,
192,4,1,192,4,,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,2024-03-20,
193,1,1,193,1,10,proin leo odio porttitor id consequat in consequat ut nulla,2024-02-19,
194,2,1,194,2,9,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,2024-06-13,
195,3,1,195,3,7,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,2024-06-29,
196,4,1,196,4,5,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,2024-03-29,
197,1,1,197,1,,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,2024-05-15,
198,2,1,198,2,,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-06-01,
199,3,1,199,3,6,donec quis orci eget orci vehicula condimentum curabitur in libero,2024-01-10,
200,4,1,200,4,6,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,2024-05-25,
201,1,1,201,1,,mauris vulputate elementum nullam varius nulla facilisi cras non velit,2024-04-11,
202,2,1,202,2,4,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,2024-01-23,
203,3,1,203,3,9,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,2024-03-20,
204,4,1,204,4,,arcu sed augue aliquam erat volutpat in congue etiam justo,2024-06-24,
205,1,1,205,1,2,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,2024-02-24,
206,2,1,206,2,9,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,2024-01-26,
207,3,1,207,3,2,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,2024-04-09,
208,4,1,208,4,5,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2024-05-11,
209,1,1,209,1,8,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2024-04-04,
210,2,1,210,2,,odio cras mi pede malesuada in imperdiet et commodo vulputate justo,2024-04-29,
211,3,1,211,3,5,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,2024-06-26,
212,4,1,212,4,8,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2024-03-19,
213,1,1,213,1,4,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,2024-01-21,
214,2,1,214,2,,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2024-06-22,
215,3,1,215,3,,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,2024-01-02,
216,4,1,216,4,7,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,2024-03-02,
217,1,1,217,1,9,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,2024-05-07,
218,2,1,218,2,4,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,2024-06-02,
219,3,1,219,3,6,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,2024-05-27,
220,4,1,220,4,8,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,2024-01-09,
221,1,1,221,1,10,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,2024-06-29,
222,2,1,222,2,3,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2024-04-05,
223,3,1,223,3,3,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,2024-04-18,
224,4,1,224,4,,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,2024-03-08,
225,1,1,225,1,9,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2024-02-18,
226,2,1,226,2,4,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,2024-01-06,
227,3,1,227,3,5,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,2024-01-21,
228,4,1,228,4,4,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,2024-06-06,
